heart_rate,spo2,sys_bp,network_latency,packet_size,anomaly_score,threat_type,ACTION_LABEL
43,96,116,69,279,0.4642034764042795,Irregular_Heartbeat,MONITOR
178,98,111,1363,82345,0.9927248914142078,Ransomware_Pattern,ISOLATE
82,99,92,14,621,0.27337090544838066,Normal_Vitals,NO_ACTION
87,95,131,13,696,0.14123577332849363,Normal_Vitals,NO_ACTION
94,97,130,4,632,0.1125690715364191,Normal_Vitals,NO_ACTION
162,99,114,1277,91835,0.8762094274655743,Ransomware_Pattern,ISOLATE
120,94,123,56,386,0.388043092412077,Irregular_Heartbeat,MONITOR
111,93,113,82,527,0.43832144741321116,Irregular_Heartbeat,MONITOR
81,97,150,23,484,0.18126336670508053,Normal_Vitals,NO_ACTION
147,97,110,210,50831,0.8556336320919876,Ransomware_Pattern,ISOLATE
158,95,129,1278,69821,0.9063719286826535,Ransomware_Pattern,ISOLATE
180,94,113,1151,46747,0.9821945363687685,Ransomware_Pattern,ISOLATE
142,94,128,445,39522,0.9865509402017796,Ransomware_Pattern,ISOLATE
45,97,114,58,8,0.5879526998376048,Irregular_Heartbeat,MONITOR
138,93,85,1155,88462,0.8820583840510182,Ransomware_Pattern,ISOLATE
94,95,94,24,668,0.1380564703277679,Normal_Vitals,NO_ACTION
99,96,136,10,725,0.009102937326907633,Normal_Vitals,NO_ACTION
81,98,132,34,697,0.15981860592608502,Normal_Vitals,NO_ACTION
178,95,106,1941,88086,0.8896741169165011,Ransomware_Pattern,ISOLATE
54,94,105,56,846,0.4469707023169278,Irregular_Heartbeat,MONITOR
81,96,117,32,429,0.11033582549340797,Normal_Vitals,NO_ACTION
0,0,113,19,573,0.11829132262416467,False_Positive_Glitch,ROLLBACK
132,97,127,1178,54732,0.9677286759766,Ransomware_Pattern,ISOLATE
68,100,125,28,428,0.02983928929418371,Normal_Vitals,NO_ACTION
99,99,108,11,795,0.09830202311950682,Normal_Vitals,NO_ACTION
80,98,102,21,199,0.04557038457591712,Normal_Vitals,NO_ACTION
87,98,114,30,795,0.19068352418316303,Normal_Vitals,NO_ACTION
89,96,149,35,547,0.23346718204482725,Normal_Vitals,ISOLATE
64,98,116,32,464,0.1744418167421576,Normal_Vitals,NO_ACTION
163,94,105,1348,41906,0.8875504946807244,Ransomware_Pattern,ISOLATE
45,93,125,100,380,0.493759848719975,Irregular_Heartbeat,MONITOR
0,0,94,7,688,0.10090256086032875,False_Positive_Glitch,ROLLBACK
107,96,94,65,478,0.3527663410094622,Irregular_Heartbeat,MONITOR
163,92,117,219,5331,0.9841785972554246,Ransomware_Pattern,ISOLATE
100,95,137,6,670,0.05016243326441879,Normal_Vitals,NO_ACTION
55,93,133,97,525,0.3512604166898782,Irregular_Heartbeat,MONITOR
165,99,115,1643,63239,0.9609687737803863,Ransomware_Pattern,ISOLATE
95,99,114,10,760,0.07001381457454675,Normal_Vitals,NO_ACTION
80,99,110,29,299,0.026870475633809208,Normal_Vitals,NO_ACTION
75,100,101,31,331,0.11270018100904616,Normal_Vitals,NO_ACTION
148,96,122,286,41754,0.9817744881747991,Ransomware_Pattern,ISOLATE
130,96,90,1290,74662,0.9559770472820737,Ransomware_Pattern,ISOLATE
167,89,124,1414,26808,0.8705683166660261,Ransomware_Pattern,ISOLATE
88,99,136,29,847,0.13844758208711702,Normal_Vitals,NO_ACTION
163,94,108,725,68712,0.8704118059368625,Ransomware_Pattern,ISOLATE
151,96,116,522,71102,0.9994810036885937,Ransomware_Pattern,ISOLATE
91,97,149,13,514,0.25649000924427645,Normal_Vitals,NO_ACTION
97,98,125,25,457,0.004786993579702059,Normal_Vitals,NO_ACTION
146,96,114,1981,77489,0.931092756929392,Ransomware_Pattern,ISOLATE
146,103,114,1125,92954,0.944219426561854,Ransomware_Pattern,ISOLATE
64,98,117,5,725,0.02033352301539627,Normal_Vitals,NO_ACTION
152,99,115,1728,71020,0.9448321148034429,Ransomware_Pattern,ISOLATE
55,93,101,75,581,0.3595225502432207,Irregular_Heartbeat,MONITOR
143,95,126,239,16209,0.9378601743671487,Ransomware_Pattern,ISOLATE
90,98,120,6,902,0.03901783038957505,Normal_Vitals,NO_ACTION
52,95,126,86,359,0.5281459747373562,Irregular_Heartbeat,MONITOR
