threat_type,severity,confidence_score,action_required,severity_encoded,threat_encoded,confidence_scaled,action_target
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Data_Exfiltration,High,0.67,MONITOR,3,1,0.67,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.85,ISOLATE,4,2,0.85,2
DDoS_Flood,Critical,0.8,ISOLATE,4,0,0.8,2
Data_Exfiltration,High,0.56,MONITOR,3,1,0.56,1
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Normal_Heartbeat,None,0.19,NO_ACTION,0,3,0.19,0
Unauthorized_Access,High,0.47,MONITOR,3,7,0.47,1
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Ransomware_Behavior,Critical,0.97,ISOLATE,4,5,0.97,2
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
Malware_C2,Critical,0.96,ISOLATE,4,2,0.96,2
Normal_Heartbeat,None,0.16,NO_ACTION,0,3,0.16,0
Unauthorized_Access,High,0.59,MONITOR,3,7,0.59,1
DDoS_Flood,Critical,0.89,ISOLATE,4,0,0.89,2
Unauthorized_Access,High,0.45,MONITOR,3,7,0.45,1
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Data_Exfiltration,Medium,0.46,MONITOR,2,1,0.46,1
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Routine_Update,None,0.12,NO_ACTION,0,6,0.12,0
Post_Attack_Cleanup,High,1.0,ROLLBACK,3,4,1.0,3
DDoS_Flood,Critical,0.9,ISOLATE,4,0,0.9,2
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
Normal_Heartbeat,None,0.3,NO_ACTION,0,3,0.3,0
DDoS_Flood,Critical,0.82,ISOLATE,4,0,0.82,2
Malware_C2,Critical,0.85,ISOLATE,4,2,0.85,2
Data_Exfiltration,Medium,0.45,MONITOR,2,1,0.45,1
Malware_C2,Critical,0.84,ISOLATE,4,2,0.84,2
Malware_C2,Critical,0.88,ISOLATE,4,2,0.88,2
DDoS_Flood,Critical,0.86,ISOLATE,4,0,0.86,2
Malware_C2,Critical,0.81,ISOLATE,4,2,0.81,2
Data_Exfiltration,Medium,0.56,MONITOR,2,1,0.56,1
DDoS_Flood,Critical,0.83,ISOLATE,4,0,0.83,2
Ransomware_Behavior,Critical,0.83,ISOLATE,4,5,0.83,2
Data_Exfiltration,High,0.5,MONITOR,3,1,0.5,1
Routine_Update,None,0.26,NO_ACTION,0,6,0.26,0
Normal_Heartbeat,None,0.06,NO_ACTION,0,3,0.06,0
DDoS_Flood,Critical,0.81,ISOLATE,4,0,0.81,2
Ransomware_Behavior,Critical,0.88,ISOLATE,4,5,0.88,2
Malware_C2,Critical,0.87,ISOLATE,4,2,0.87,2
Data_Exfiltration,High,0.41,MONITOR,3,1,0.41,1
Malware_C2,Critical,0.99,ISOLATE,4,2,0.99,2
Data_Exfiltration,Medium,0.65,MONITOR,2,1,0.65,1
Data_Exfiltration,Medium,0.7,MONITOR,2,1,0.7,1
Normal_Heartbeat,None,0.26,NO_ACTION,0,3,0.26,0
