timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,attack_type,is_attack,sensor_source,priority_label
2239,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
7265,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
12295,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
17393,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
22487,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
27575,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
32587,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
37650,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
42743,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
47771,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
52872,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
57922,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
62950,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
68035,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
73108,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
78200,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
83300,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
88341,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,False,6,MQTT,10.18.166.210,1883,normal,False,temperature,LOW
