timestamp,alert_id,device_id,device_type,ward,criticality_tier,life_support,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type,attack_severity,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score,group_id,campaign_id,actual_priority,predicted_priority,confidence_score,prediction_correct,match_status,alerts_in_group,group_priority
2024-02-05 13:35:44,ALT_967877,WARD_ESP32_TEMP_002,ESP32_Temperature,General_Ward,6,False,192.168.17.182,10.0.10.35,34242,8883,MQTT,601,1025,17.08,7,56,616025,297165,50.61,13,0,False,False,mqtt_injection,36,0.99246,0.871499,0.452252,GRP_38878,CAMP_048,INFO,INFO,0.990769,1,CORRECT,1,INFO
2024-01-17 03:09:26,ALT_218946,OPD_ESP32_TEMP_001,ESP32_Temperature,OPD,5,False,192.168.36.240,10.0.8.104,19574,1883,MQTT,1513,1773,29.55,30,79,2682549,882317,26.56,3,2,True,False,buffer_overflow,42,0.748694,0.788168,0.411669,GRP_12180,CAMP_020,INFO,INFO,0.996476,1,CORRECT,1,INFO
2024-02-11 08:19:39,ALT_620782,ICU_ESP32_TEMP_001,ESP32_Temperature,ICU,8,False,192.168.4.77,10.0.2.58,29345,1883,MQTT,1312,1712,28.53,46,59,2246144,1264756,29.67,8,6,False,True,buffer_overflow,42,0.964894,0.901746,0.42096,GRP_20646,CAMP_030,LOW,LOW,0.943527,1,CORRECT,1,LOW
2024-01-31 08:31:56,ALT_985279,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.46.76,10.0.6.254,5002,52580,BLE,1448,1130,18.83,26,110,1636240,766112,31.07,8,2,False,False,firmware_exploit,42,0.901517,0.736461,0.195429,GRP_35369,CAMP_021,LOW,LOW,1.0,1,CORRECT,1,LOW
2024-02-03 19:06:00,ALT_506467,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.32.217,10.0.3.51,52845,63431,BLE,1454,1440,24.0,20,143,2093760,689454,42.94,19,5,False,True,buffer_overflow,42,0.719234,0.901106,0.211638,GRP_7952,CAMP_005,MEDIUM,MEDIUM,1.0,1,CORRECT,1,MEDIUM
2024-02-08 12:59:57,ALT_380663,OPD_ESP32_TEMP_001,ESP32_Temperature,OPD,5,False,192.168.31.192,10.0.9.100,24196,8883,MQTT,1535,340,5.67,11,12,521900,305739,0.29,12,3,False,False,mitm_ssl_strip,38,0.642143,0.662149,0.15965,GRP_7079,CAMP_037,INFO,INFO,1.0,1,CORRECT,1,INFO
2024-01-28 08:40:21,ALT_238318,ICU_ESP32_ECG_002,ESP32_ECG_Monitor,ICU,9,True,192.168.40.254,10.0.8.87,12280,8883,MQTT,832,1470,24.5,22,42,1223040,716058,36.59,8,6,False,True,wifi_deauth,25,0.849635,0.889225,0.459651,GRP_14398,CAMP_013,HIGH,HIGH,0.859327,1,CORRECT,1,HIGH
2024-02-13 06:16:20,ALT_987283,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.48.238,10.0.8.73,22432,80,HTTP,585,896,14.93,43,189,524160,288778,7.56,6,1,False,False,ddos,40,0.97215,0.611469,0.268763,GRP_10073,CAMP_039,INFO,INFO,1.0,1,CORRECT,1,INFO
2024-02-02 05:20:19,ALT_761687,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.37.43,10.0.10.42,15459,80,HTTP,1211,745,12.42,30,53,902195,360189,30.15,5,4,True,False,ddos,40,0.699289,0.878127,0.240132,GRP_9839,CAMP_017,INFO,INFO,0.984727,1,CORRECT,1,INFO
2024-01-16 20:42:37,ALT_213844,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.38.252,10.0.4.192,61202,80,HTTP,1700,556,9.27,14,104,945200,416783,19.03,20,1,False,False,wifi_deauth,25,0.793874,0.504303,0.589817,GRP_10090,CAMP_010,LOW,LOW,0.948467,1,CORRECT,1,LOW
2024-01-18 01:32:19,ALT_703276,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.29.104,10.0.3.74,3344,80,HTTP,1829,652,10.87,36,171,1192508,410626,54.94,1,3,True,False,buffer_overflow,42,0.791864,0.621047,0.288264,GRP_22258,CAMP_027,HIGH,HIGH,0.996143,1,CORRECT,1,HIGH
2024-01-22 10:16:07,ALT_549751,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.42.215,10.0.9.160,48334,80,HTTP,1402,997,16.62,18,105,1397794,869724,53.28,10,0,False,False,mqtt_injection,35,0.835224,0.746282,0.571175,GRP_31497,CAMP_045,CRITICAL,CRITICAL,0.977012,1,CORRECT,1,CRITICAL
2024-01-28 01:53:04,ALT_869138,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.22.195,10.0.5.214,58105,80,HTTP,593,684,11.4,41,158,405612,238663,11.32,1,6,True,True,replay_attack,28,0.731566,0.864757,0.252002,GRP_1418,CAMP_002,HIGH,HIGH,0.938144,1,CORRECT,1,HIGH
