timestamp,alert_id,device_id,device_type,ward,criticality_tier,life_support,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type,attack_severity,priority_label,group_id,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score,campaign_id
2024-01-21 20:57:21,ALT_413295,WARD_ESP32_TEMP_001,ESP32_Temperature,General_Ward,6,False,192.168.34.38,10.0.5.179,23858,80,HTTP,781,1418,23.63,46,63,1107458,676866,1.84,20,6,False,True,mitm_ssl_strip,38,MEDIUM,GRP_15722,0.905042,0.540588,0.197433,CAMP_009
2024-01-26 08:35:44,ALT_767011,ER_ESP32_ECG_001,ESP32_ECG_Monitor,Emergency,9,True,192.168.5.235,10.0.10.4,12532,8883,MQTT,1010,510,8.5,10,107,515100,334356,53.3,8,4,False,False,buffer_overflow,42,CRITICAL,GRP_20185,0.912235,0.80136,0.20838,CAMP_027
2024-01-20 05:58:21,ALT_321846,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.37.83,10.0.5.112,7640,80,HTTP,473,15,0.25,1,5,7095,2719,48.5,5,5,True,True,normal,0,LOW,,0.157752,0.143871,0.075914,
2024-01-24 20:32:06,ALT_583167,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.20.245,10.0.3.119,53500,8883,MQTT,1970,460,7.67,39,194,906200,410498,47.47,20,2,False,False,ble_spoofing,30,HIGH,GRP_16700,0.922457,0.926848,0.234861,CAMP_001
2024-01-28 05:26:53,ALT_743876,ICU_ESP32_HR_001,ESP32_Pulse_Oximeter,ICU,10,True,192.168.6.170,10.0.1.150,20937,1883,MQTT,1939,1482,24.7,2,84,2873598,1308432,48.33,5,6,True,True,firmware_exploit,45,CRITICAL,GRP_32992,0.83284,0.614913,0.339942,CAMP_044
2024-02-04 14:04:57,ALT_663776,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.30.51,10.0.4.225,53484,50045,BLE,1309,1249,20.82,49,166,1634941,947001,18.99,14,6,False,True,ble_spoofing,30,MEDIUM,GRP_16435,0.797803,0.599443,0.581076,CAMP_024
2024-01-31 05:15:36,ALT_992167,HOME_ESP32_FALL_001,ESP32_Fall_Detection,Home_Care,6,False,192.168.6.10,10.0.10.70,63006,8080,WiFi,556,405,6.75,38,117,225180,105741,9.41,5,2,True,False,mqtt_injection,35,LOW,GRP_24005,0.893967,0.77637,0.475115,CAMP_025
2024-01-20 14:24:49,ALT_458649,WARD_ESP32_FALL_001,ESP32_Fall_Detection,General_Ward,7,False,192.168.37.125,10.0.9.136,15859,443,WiFi,1921,844,14.07,21,11,1621324,533251,6.65,14,5,False,True,replay_attack,28,MEDIUM,GRP_20918,0.909939,0.638865,0.493511,CAMP_014
2024-01-21 08:59:49,ALT_875450,HOME_ESP32_FALL_001,ESP32_Fall_Detection,Home_Care,6,False,192.168.48.21,10.0.5.97,6149,8080,WiFi,772,997,16.62,17,29,769684,342194,48.17,8,6,False,True,wifi_deauth,25,LOW,GRP_0768,0.883088,0.595005,0.504434,CAMP_043
2024-01-19 05:47:52,ALT_342543,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.41.59,10.0.1.70,41092,80,HTTP,394,45,0.75,1,3,17730,6885,16.74,5,4,True,False,normal,0,INFO,,0.139083,0.099396,0.096611,
2024-01-17 17:56:39,ALT_338475,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.27.105,10.0.7.193,54809,80,HTTP,324,16,0.27,1,1,5184,2462,25.41,17,2,False,False,normal,0,INFO,,0.009864,0.163325,0.005497,
2024-02-06 03:02:45,ALT_890864,WARD_ESP32_TEMP_002,ESP32_Temperature,General_Ward,6,False,192.168.31.115,10.0.9.43,44170,1883,MQTT,448,47,0.78,1,4,21056,7281,4.74,3,1,True,False,normal,0,INFO,,0.071543,0.144516,0.072233,
